Ordem;NroProcessoPI;Titular;CNPJ-Titular;CNPJ(ID Alternativo);IFES titular;Qtde de empregados;Natureza do Titular;Tipo do Titular;Tamanho do Titular;Esfera;Região;Seção;Descr.Seção;Divisão;Descr.Divisão;Ano requerimento;Ano 1º TT
33;BR1020180111485;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2018;Não TT
34;BR1020180111493;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2018;Não TT
35;BR1020180687603;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2018;Não TT
36;BR2020180687404;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2018;Não TT
37;BR1020180724410;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2018;Não TT
38;BR1020180768336;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2018;Não TT
39;BR1020190024852;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
40;BR1020190142472;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
41;BR1020190150076;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
42;BR1020190239166;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
43;BR1020190272996;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
44;BR1020190272830;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
45;BR1020190272937;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
